影视轮播频道,#genre#
湖南电视剧,http://58.46.69.155:8188/udp/239.76.253.108:9000
黑龙江影视,http://218.8.87.96:4000/rtp/229.58.190.14:5000
CHC电影,http://171.119.205.154:6000/rtp/226.0.2.93:8004
山西影视,http://171.119.205.154:6000/rtp/226.0.2.237:9808
湖南电影,http://175.8.129.208:4000/udp/239.76.245.119:1234
家庭影院,http://220.176.218.147:9000/rtp/239.252.220.86:5140
安徽影视,http://114.107.45.71:8188/rtp/238.1.79.42:4448
安徽影视,http://183.164.63.167:5000/rtp/238.1.79.42:4448
北京影视,http://115.171.80.94:1688/udp/225.1.8.82:8000
CHC电影,http://118.78.196.46:55555/rtp/226.0.2.93:8004
湖南电视剧,http://58.46.69.155:8188/udp/239.76.246.108:1234
湖南电影,http://58.46.69.155:8188/udp/239.76.246.106:1234
辽宁影视剧,http://116.2.167.167:4010/rtp/232.0.0.25:1234
南宁影视娱乐,http://124.226.132.38:19090/udp/239.81.0.128:4056
济南影视,http://144.255.44.197:4022/udp/239.21.1.65:5002
湖北影视,http://27.18.157.225:2701/rtp/239.69.1.204:10866
湖南电影,http://58.46.69.155:8188/udp/239.76.245.119:1234
哈尔滨影视,http://1.58.243.207:4001/rtp/229.58.190.1:5000
湖南电视剧,http://175.8.129.208:4000/udp/239.76.246.108:1234
湖南电影,http://175.8.129.208:4000/udp/239.76.252.119:9000
哈尔滨影视,http://1.58.246.23:4000/rtp/229.58.190.1:5000
杭州影视,http://183.130.35.79:9011/udp/233.50.201.176:5140
哈尔滨影视,http://1.58.246.23:4001/rtp/229.58.190.1:5000
哈尔滨影视,http://218.8.87.96:4000/rtp/229.58.190.1:5000
黑龙江影视,http://1.58.243.207:4000/rtp/229.58.190.14:5000
江西影视旅游,http://220.176.218.147:9000/rtp/239.252.220.242:5140
湖南电影,http://220.169.100.41:10087/udp/239.76.245.119:1234
湖南电视剧,http://220.169.100.41:10087/udp/239.76.245.118:1234
黑龙江影视,http://1.58.246.23:4000/rtp/229.58.190.14:5000
湖南电影,http://58.46.69.155:8188/udp/239.76.253.106:9000
黑龙江影视,http://1.58.243.207:4001/rtp/229.58.190.14:5000
哈尔滨影视,http://1.58.243.207:4000/rtp/229.58.190.1:5000
湖南电影,http://58.46.69.155:8188/udp/239.76.252.119:9000
湖南电视剧,http://58.46.69.155:8188/udp/239.76.245.118:1234
黑龙江影视,http://1.58.246.23:4001/rtp/229.58.190.14:5000
江苏影视,http://180.105.218.230:4022/rtp/239.49.8.118:8000
安徽影视,http://117.57.37.24:4022/rtp/238.1.79.42:4448
江苏影视,http://114.226.205.65:4022/rtp/239.49.8.118:8000
湖南电影,http://58.46.210.223:4022/udp/239.76.253.106:9000
北京影视,http://114.241.220.153:4022/rtp/239.3.1.158:8000
精彩影视,http://49.113.178.226:4022/udp/238.125.5.110:5140
安徽影视,http://183.162.205.235:4022/rtp/238.1.79.42:4448
湖南电视剧,http://58.46.210.223:4022/udp/239.76.246.108:1234
精彩影视,http://110.157.221.183:8088/udp/238.125.5.110:5140
杭州影视,http://115.192.237.86:4022/udp/233.50.201.176:5140
湖南电视剧,http://58.46.210.223:4022/udp/239.76.253.108:9000
湖南电视剧,http://58.46.210.223:4022/udp/239.76.252.118:9000
佛山影视,http://113.104.185.171:7088/udp/239.253.43.56:5146
精彩影视,http://111.162.207.216:8686/rtp/225.1.1.141:5002
精彩影视,http://117.13.121.247:4022/rtp/225.1.1.141:5002
江苏影视,http://49.77.104.97:8554/rtp/239.49.8.118:8000
湖南电视剧,http://175.8.129.208:4000/udp/239.76.252.118:9000
湖南电视剧,http://220.169.100.41:10087/udp/239.76.252.118:9000
湖南电视剧,http://220.169.100.41:10087/udp/239.76.246.108:1234
广东影视,http://61.140.125.229:10022/udp/239.77.0.217:5146
佛山影视,http://116.23.98.153:7188/udp/239.253.43.56:5146
湖南电影,http://220.169.100.41:10087/udp/239.76.252.119:9000
湖北影视,http://59.172.69.163:4022/rtp/239.69.1.204:10866
湖南电视剧,http://220.169.100.41:10087/udp/239.76.253.108:9000
湖南电影,http://220.169.100.41:10087/udp/239.76.253.106:9000
湖南电影,http://58.46.210.223:4022/udp/239.76.252.119:9000
